Time_since_preparation_hours,Storage_place,Acidity_source,Consistency,Container_type,Smell,Oil_separation,Spoiled_flag
119,Insulated container,High (pH~4.5),Normal (smooth),Metal container,Sour fermentation smell,<5%,Yes
117,Insulated container,High (pH~4.5),Watery separation,Open bowl,Strong off-odor,Oil film present,Yes
72,Warm environment (≈35°C),High (pH~4.5),Mushy,Plastic box with lid,Sour fermentation smell,None,Yes
11,Covered in container,None,Normal (smooth),Thermal flask,Fresh/normal,None,No
12,Insulated container,None,Normal (smooth),Plastic box with lid,Fresh/normal,5-15%,No
9,Covered in container,None,Normal (smooth),Open bowl,Fresh/normal,None,No
58,Warm environment (≈35°C),Moderate (pH~5.5),Watery separation,Open bowl,Rancid smell,5-15%,Yes
16,Room temperature (≈25°C),None,Thickened,Thermal flask,Fresh/normal,None,No
89,Room temperature (≈25°C),High (pH~4.5),Watery separation,Glass jar sealed,Strong off-odor,>15%,Yes
40,Warm environment (≈35°C),Moderate (pH~5.5),Watery separation,Metal container,Strong off-odor,Oil film present,Yes
70,Warm environment (≈35°C),Moderate (pH~5.5),Watery separation,Metal container,Strong off-odor,Oil film present,Yes
71,Refrigerated (≈4°C),None,Normal (smooth),Glass jar sealed,Fresh/normal,5-15%,No
39,Insulated container,None,Normal (smooth),Metal container,Fresh/normal,None,No
2,Insulated container,None,Normal (smooth),Metal container,Fresh/normal,None,No
91,Refrigerated (≈4°C),High (pH~4.5),Watery separation,Metal container,Sour fermentation smell,>15%,Yes
95,Insulated container,None,Thickened,Plastic box with lid,Fresh/normal,None,No
8,Covered in container,Moderate (pH~5.5),Normal (smooth),Metal container,Fresh/normal,None,No
68,Open air / uncovered,Moderate (pH~5.5),Normal (smooth),Metal container,Strong off-odor,Oil film present,Yes
46,Warm environment (≈35°C),High (pH~4.5),Mushy,Thermal flask,Strong off-odor,5-15%,Yes
100,Warm environment (≈35°C),Moderate (pH~5.5),Clotted/curdled,Glass jar sealed,Strong off-odor,Oil film present,Yes
24,Open air / uncovered,Moderate (pH~5.5),Normal (smooth),Glass jar sealed,Fresh/normal,None,No
110,Refrigerated (≈4°C),None,Normal (smooth),Thermal flask,Fresh/normal,None,No
11,Open air / uncovered,None,Normal (smooth),Thermal flask,Fresh/normal,5-15%,No
6,Open air / uncovered,None,Normal (smooth),Plastic box with lid,Fresh/normal,None,No
33,Refrigerated (≈4°C),Low (pH~6.5),Thickened,Thermal flask,Fresh/normal,None,No
60,Room temperature (≈25°C),None,Watery separation,Thermal flask,Sour fermentation smell,5-15%,Yes
115,Room temperature (≈25°C),High (pH~4.5),Watery separation,Metal container,Rancid smell,>15%,Yes
30,Insulated container,None,Mushy,Thermal flask,Sour fermentation smell,Oil film present,Yes
61,Refrigerated (≈4°C),Low (pH~6.5),Normal (smooth),Glass jar sealed,Fresh/normal,5-15%,No
71,Covered in container,None,Thickened,Thermal flask,Strong off-odor,<5%,Yes
118,Room temperature (≈25°C),High (pH~4.5),Clotted/curdled,Plastic box with lid,Sour fermentation smell,None,Yes
60,Covered in container,Low (pH~6.5),Normal (smooth),Glass jar sealed,Fresh/normal,None,No
50,Covered in container,None,Normal (smooth),Thermal flask,Fresh/normal,None,No
68,Room temperature (≈25°C),Moderate (pH~5.5),Thickened,Glass jar sealed,Sour fermentation smell,Oil film present,Yes
117,Covered in container,Moderate (pH~5.5),Mushy,Plastic box with lid,Rancid smell,>15%,Yes
19,Covered in container,None,Normal (smooth),Thermal flask,Fresh/normal,None,No
73,Room temperature (≈25°C),Moderate (pH~5.5),Clotted/curdled,Glass jar sealed,Sour fermentation smell,<5%,Yes
106,Warm environment (≈35°C),High (pH~4.5),Watery separation,Open bowl,Strong off-odor,Oil film present,Yes
33,Refrigerated (≈4°C),None,Normal (smooth),Plastic box with lid,Fresh/normal,None,No
94,Refrigerated (≈4°C),None,Normal (smooth),Plastic box with lid,Fresh/normal,<5%,No
43,Room temperature (≈25°C),Low (pH~6.5),Mushy,Plastic box with lid,Fresh/normal,5-15%,No
92,Room temperature (≈25°C),Moderate (pH~5.5),Thickened,Open bowl,Strong off-odor,>15%,Yes
5,Warm environment (≈35°C),Low (pH~6.5),Normal (smooth),Glass jar sealed,Fresh/normal,None,No
105,Covered in container,Moderate (pH~5.5),Watery separation,Thermal flask,Rancid smell,5-15%,Yes
2,Insulated container,None,Normal (smooth),Plastic box with lid,Fresh/normal,None,No
30,Warm environment (≈35°C),Low (pH~6.5),Mushy,Glass jar sealed,Fresh/normal,None,No
88,Covered in container,Moderate (pH~5.5),Thickened,Open bowl,Strong off-odor,5-15%,Yes
1,Warm environment (≈35°C),None,Thickened,Plastic box with lid,Fresh/normal,None,No
42,Insulated container,High (pH~4.5),Clotted/curdled,Thermal flask,Strong off-odor,5-15%,Yes
46,Warm environment (≈35°C),High (pH~4.5),Clotted/curdled,Glass jar sealed,Strong off-odor,5-15%,Yes
98,Insulated container,Low (pH~6.5),Normal (smooth),Plastic box with lid,Strong off-odor,None,No
86,Refrigerated (≈4°C),None,Thickened,Thermal flask,Fresh/normal,None,No
61,Refrigerated (≈4°C),Low (pH~6.5),Thickened,Thermal flask,Fresh/normal,None,No
37,Insulated container,Moderate (pH~5.5),Normal (smooth),Open bowl,Slight off-smell,5-15%,Yes
51,Warm environment (≈35°C),Low (pH~6.5),Normal (smooth),Metal container,Fresh/normal,5-15%,No
111,Warm environment (≈35°C),None,Watery separation,Plastic box with lid,Rancid smell,>15%,Yes
35,Insulated container,Low (pH~6.5),Normal (smooth),Open bowl,Strong off-odor,Oil film present,Yes
46,Open air / uncovered,None,Normal (smooth),Metal container,Fresh/normal,None,No
55,Room temperature (≈25°C),Moderate (pH~5.5),Clotted/curdled,Glass jar sealed,Rancid smell,>15%,Yes
77,Insulated container,Low (pH~6.5),Normal (smooth),Thermal flask,Fresh/normal,None,No
75,Insulated container,None,Normal (smooth),Glass jar sealed,Fresh/normal,None,No
118,Room temperature (≈25°C),High (pH~4.5),Watery separation,Metal container,Sour fermentation smell,5-15%,Yes
79,Open air / uncovered,Moderate (pH~5.5),Clotted/curdled,Metal container,Strong off-odor,<5%,Yes
13,Refrigerated (≈4°C),Low (pH~6.5),Normal (smooth),Open bowl,Fresh/normal,None,No
118,Refrigerated (≈4°C),None,Normal (smooth),Open bowl,Fresh/normal,<5%,No
54,Room temperature (≈25°C),Moderate (pH~5.5),Thickened,Thermal flask,Sour fermentation smell,Oil film present,Yes
71,Insulated container,Low (pH~6.5),Normal (smooth),Metal container,Strong off-odor,None,No
67,Refrigerated (≈4°C),None,Normal (smooth),Open bowl,Fresh/normal,None,No
16,Refrigerated (≈4°C),None,Normal (smooth),Glass jar sealed,Fresh/normal,<5%,No
52,Refrigerated (≈4°C),None,Normal (smooth),Thermal flask,Fresh/normal,None,No
54,Warm environment (≈35°C),High (pH~4.5),Watery separation,Thermal flask,Rancid smell,Oil film present,Yes
86,Refrigerated (≈4°C),None,Thickened,Glass jar sealed,Fresh/normal,None,No
74,Covered in container,High (pH~4.5),Thickened,Plastic box with lid,Sour fermentation smell,5-15%,Yes
77,Covered in container,Moderate (pH~5.5),Clotted/curdled,Open bowl,Sour fermentation smell,Oil film present,Yes
38,Warm environment (≈35°C),None,Normal (smooth),Glass jar sealed,Fresh/normal,None,No
54,Open air / uncovered,Low (pH~6.5),Normal (smooth),Plastic box with lid,Slight off-smell,None,No
15,Warm environment (≈35°C),High (pH~4.5),Clotted/curdled,Metal container,Strong off-odor,>15%,Yes
65,Room temperature (≈25°C),None,Clotted/curdled,Glass jar sealed,Sour fermentation smell,5-15%,Yes
23,Open air / uncovered,None,Normal (smooth),Plastic box with lid,Fresh/normal,None,No
62,Insulated container,None,Thickened,Glass jar sealed,Fresh/normal,None,No
27,Insulated container,Low (pH~6.5),Normal (smooth),Thermal flask,Fresh/normal,5-15%,No
93,Insulated container,Low (pH~6.5),Thickened,Glass jar sealed,Fresh/normal,None,No
10,Room temperature (≈25°C),None,Normal (smooth),Metal container,Fresh/normal,None,No
119,Insulated container,Moderate (pH~5.5),Watery separation,Open bowl,Rancid smell,5-15%,Yes
78,Open air / uncovered,Moderate (pH~5.5),Thickened,Glass jar sealed,Fresh/normal,5-15%,Yes
49,Refrigerated (≈4°C),None,Normal (smooth),Glass jar sealed,Fresh/normal,None,No
40,Open air / uncovered,High (pH~4.5),Mushy,Metal container,Sour fermentation smell,Oil film present,Yes
9,Open air / uncovered,Moderate (pH~5.5),Watery separation,Glass jar sealed,Fresh/normal,<5%,No
0,Refrigerated (≈4°C),Low (pH~6.5),Normal (smooth),Thermal flask,Fresh/normal,None,No
24,Room temperature (≈25°C),None,Normal (smooth),Glass jar sealed,Fresh/normal,<5%,No
37,Refrigerated (≈4°C),None,Watery separation,Open bowl,Fresh/normal,<5%,No
88,Insulated container,None,Thickened,Metal container,Fresh/normal,None,No
81,Insulated container,None,Normal (smooth),Thermal flask,Fresh/normal,None,No
24,Room temperature (≈25°C),None,Normal (smooth),Metal container,Fresh/normal,None,No
34,Covered in container,Low (pH~6.5),Thickened,Metal container,Slight off-smell,<5%,Yes
73,Room temperature (≈25°C),Moderate (pH~5.5),Thickened,Plastic box with lid,Strong off-odor,5-15%,Yes
103,Insulated container,High (pH~4.5),Watery separation,Plastic box with lid,Slight off-smell,Oil film present,Yes
1,Insulated container,None,Normal (smooth),Glass jar sealed,Fresh/normal,None,No
88,Refrigerated (≈4°C),Low (pH~6.5),Normal (smooth),Thermal flask,Fresh/normal,>15%,No
120,Room temperature (≈25°C),High (pH~4.5),Mushy,Glass jar sealed,Strong off-odor,Oil film present,Yes
66,Covered in container,Low (pH~6.5),Normal (smooth),Plastic box with lid,Fresh/normal,<5%,No
45,Warm environment (≈35°C),High (pH~4.5),Watery separation,Thermal flask,Rancid smell,5-15%,Yes
47,Room temperature (≈25°C),High (pH~4.5),Watery separation,Plastic box with lid,Strong off-odor,>15%,Yes
107,Insulated container,Moderate (pH~5.5),Clotted/curdled,Glass jar sealed,Strong off-odor,>15%,Yes
90,Warm environment (≈35°C),High (pH~4.5),Mushy,Plastic box with lid,Strong off-odor,>15%,Yes
76,Warm environment (≈35°C),Low (pH~6.5),Normal (smooth),Open bowl,Strong off-odor,Oil film present,Yes
34,Refrigerated (≈4°C),None,Normal (smooth),Plastic box with lid,Fresh/normal,None,No
113,Room temperature (≈25°C),High (pH~4.5),Thickened,Metal container,Strong off-odor,Oil film present,Yes
25,Room temperature (≈25°C),Low (pH~6.5),Watery separation,Glass jar sealed,Rancid smell,>15%,Yes
94,Room temperature (≈25°C),High (pH~4.5),Clotted/curdled,Thermal flask,Sour fermentation smell,Oil film present,Yes
101,Open air / uncovered,High (pH~4.5),Clotted/curdled,Open bowl,Sour fermentation smell,<5%,Yes
54,Open air / uncovered,None,Thickened,Glass jar sealed,Rancid smell,>15%,Yes
14,Room temperature (≈25°C),High (pH~4.5),Thickened,Plastic box with lid,Strong off-odor,>15%,Yes
21,Room temperature (≈25°C),Low (pH~6.5),Normal (smooth),Metal container,Fresh/normal,<5%,No
96,Insulated container,None,Thickened,Metal container,Strong off-odor,5-15%,Yes
104,Insulated container,None,Normal (smooth),Thermal flask,Fresh/normal,5-15%,No
92,Open air / uncovered,Moderate (pH~5.5),Clotted/curdled,Plastic box with lid,Sour fermentation smell,5-15%,Yes
91,Room temperature (≈25°C),Low (pH~6.5),Watery separation,Glass jar sealed,Sour fermentation smell,>15%,Yes
37,Covered in container,None,Normal (smooth),Metal container,Fresh/normal,None,No
82,Room temperature (≈25°C),High (pH~4.5),Thickened,Glass jar sealed,Strong off-odor,Oil film present,Yes
85,Covered in container,Low (pH~6.5),Mushy,Metal container,Strong off-odor,5-15%,Yes
40,Warm environment (≈35°C),High (pH~4.5),Clotted/curdled,Open bowl,Rancid smell,Oil film present,Yes
80,Refrigerated (≈4°C),Moderate (pH~5.5),Normal (smooth),Metal container,Fresh/normal,5-15%,No
71,Open air / uncovered,High (pH~4.5),Thickened,Metal container,Strong off-odor,<5%,Yes
77,Covered in container,Moderate (pH~5.5),Clotted/curdled,Open bowl,Strong off-odor,>15%,Yes
74,Insulated container,Moderate (pH~5.5),Clotted/curdled,Metal container,Rancid smell,>15%,Yes
86,Warm environment (≈35°C),Moderate (pH~5.5),Clotted/curdled,Plastic box with lid,Strong off-odor,>15%,Yes
100,Warm environment (≈35°C),High (pH~4.5),Thickened,Open bowl,Sour fermentation smell,5-15%,Yes
15,Covered in container,None,Normal (smooth),Metal container,Slight off-smell,5-15%,No
83,Refrigerated (≈4°C),Low (pH~6.5),Normal (smooth),Metal container,Fresh/normal,None,No
56,Insulated container,None,Thickened,Glass jar sealed,Fresh/normal,None,No
104,Open air / uncovered,Low (pH~6.5),Mushy,Open bowl,Rancid smell,>15%,Yes
81,Refrigerated (≈4°C),None,Normal (smooth),Open bowl,Fresh/normal,>15%,No
115,Open air / uncovered,Moderate (pH~5.5),Watery separation,Metal container,Slight off-smell,5-15%,Yes
83,Warm environment (≈35°C),High (pH~4.5),Thickened,Plastic box with lid,Rancid smell,5-15%,Yes
62,Warm environment (≈35°C),Low (pH~6.5),Watery separation,Plastic box with lid,Sour fermentation smell,5-15%,Yes
94,Warm environment (≈35°C),Moderate (pH~5.5),Watery separation,Thermal flask,Rancid smell,>15%,Yes
67,Room temperature (≈25°C),High (pH~4.5),Watery separation,Thermal flask,Rancid smell,5-15%,Yes
117,Room temperature (≈25°C),High (pH~4.5),Thickened,Open bowl,Sour fermentation smell,5-15%,Yes
105,Covered in container,High (pH~4.5),Thickened,Open bowl,Slight off-smell,5-15%,Yes
45,Room temperature (≈25°C),None,Clotted/curdled,Open bowl,Fresh/normal,None,No
61,Open air / uncovered,High (pH~4.5),Mushy,Plastic box with lid,Sour fermentation smell,Oil film present,Yes
32,Covered in container,None,Normal (smooth),Plastic box with lid,Fresh/normal,None,No
9,Insulated container,None,Normal (smooth),Thermal flask,Fresh/normal,None,No
102,Insulated container,None,Watery separation,Plastic box with lid,Rancid smell,>15%,Yes
21,Warm environment (≈35°C),Moderate (pH~5.5),Clotted/curdled,Plastic box with lid,Fresh/normal,None,No
40,Covered in container,None,Thickened,Plastic box with lid,Fresh/normal,None,No
91,Open air / uncovered,High (pH~4.5),Watery separation,Plastic box with lid,Rancid smell,>15%,Yes
49,Covered in container,High (pH~4.5),Mushy,Plastic box with lid,Sour fermentation smell,>15%,Yes
75,Insulated container,High (pH~4.5),Watery separation,Thermal flask,Rancid smell,>15%,Yes
82,Open air / uncovered,Moderate (pH~5.5),Normal (smooth),Thermal flask,Strong off-odor,5-15%,Yes
43,Refrigerated (≈4°C),None,Normal (smooth),Plastic box with lid,Fresh/normal,None,No
116,Refrigerated (≈4°C),High (pH~4.5),Clotted/curdled,Plastic box with lid,Rancid smell,>15%,Yes
107,Open air / uncovered,Moderate (pH~5.5),Mushy,Glass jar sealed,Strong off-odor,5-15%,Yes
116,Open air / uncovered,High (pH~4.5),Clotted/curdled,Open bowl,Strong off-odor,None,Yes
10,Open air / uncovered,Low (pH~6.5),Watery separation,Plastic box with lid,Fresh/normal,None,No
9,Room temperature (≈25°C),Low (pH~6.5),Normal (smooth),Metal container,Fresh/normal,None,No
114,Insulated container,None,Mushy,Thermal flask,Strong off-odor,5-15%,Yes
115,Warm environment (≈35°C),Moderate (pH~5.5),Clotted/curdled,Plastic box with lid,Slight off-smell,Oil film present,Yes
36,Covered in container,Low (pH~6.5),Normal (smooth),Thermal flask,Fresh/normal,5-15%,No
118,Room temperature (≈25°C),Low (pH~6.5),Clotted/curdled,Plastic box with lid,Strong off-odor,>15%,Yes
22,Open air / uncovered,High (pH~4.5),Clotted/curdled,Open bowl,Rancid smell,Oil film present,Yes
79,Refrigerated (≈4°C),None,Normal (smooth),Metal container,Fresh/normal,None,No
92,Covered in container,Low (pH~6.5),Normal (smooth),Thermal flask,Fresh/normal,5-15%,No
90,Refrigerated (≈4°C),Low (pH~6.5),Mushy,Open bowl,Rancid smell,>15%,Yes
10,Warm environment (≈35°C),Moderate (pH~5.5),Normal (smooth),Metal container,Fresh/normal,<5%,No
23,Open air / uncovered,Moderate (pH~5.5),Normal (smooth),Metal container,Sour fermentation smell,Oil film present,Yes
83,Room temperature (≈25°C),High (pH~4.5),Clotted/curdled,Thermal flask,Strong off-odor,5-15%,Yes
102,Insulated container,Low (pH~6.5),Normal (smooth),Plastic box with lid,Fresh/normal,None,No
66,Covered in container,None,Clotted/curdled,Thermal flask,Sour fermentation smell,<5%,Yes
74,Warm environment (≈35°C),Moderate (pH~5.5),Clotted/curdled,Plastic box with lid,Sour fermentation smell,>15%,Yes
108,Insulated container,Low (pH~6.5),Clotted/curdled,Open bowl,Sour fermentation smell,>15%,Yes
30,Warm environment (≈35°C),Low (pH~6.5),Normal (smooth),Open bowl,Fresh/normal,None,No
84,Covered in container,None,Normal (smooth),Metal container,Strong off-odor,Oil film present,No
89,Warm environment (≈35°C),Low (pH~6.5),Clotted/curdled,Plastic box with lid,Slight off-smell,>15%,Yes
110,Room temperature (≈25°C),High (pH~4.5),Clotted/curdled,Thermal flask,Strong off-odor,5-15%,Yes
5,Room temperature (≈25°C),None,Normal (smooth),Glass jar sealed,Slight off-smell,None,No
99,Warm environment (≈35°C),Moderate (pH~5.5),Mushy,Open bowl,Strong off-odor,5-15%,Yes
10,Insulated container,Low (pH~6.5),Watery separation,Metal container,Fresh/normal,None,No
101,Room temperature (≈25°C),Low (pH~6.5),Watery separation,Plastic box with lid,Rancid smell,>15%,Yes
17,Refrigerated (≈4°C),None,Normal (smooth),Plastic box with lid,Fresh/normal,None,No
5,Open air / uncovered,None,Normal (smooth),Open bowl,Fresh/normal,None,No
73,Covered in container,High (pH~4.5),Mushy,Plastic box with lid,Strong off-odor,>15%,Yes
114,Room temperature (≈25°C),Moderate (pH~5.5),Mushy,Plastic box with lid,Slight off-smell,>15%,Yes
63,Open air / uncovered,Moderate (pH~5.5),Clotted/curdled,Glass jar sealed,Sour fermentation smell,Oil film present,Yes
16,Warm environment (≈35°C),Low (pH~6.5),Normal (smooth),Open bowl,Fresh/normal,None,No
104,Covered in container,Moderate (pH~5.5),Watery separation,Open bowl,Sour fermentation smell,>15%,Yes
67,Covered in container,High (pH~4.5),Thickened,Glass jar sealed,Strong off-odor,>15%,Yes
102,Insulated container,Moderate (pH~5.5),Mushy,Thermal flask,Sour fermentation smell,>15%,Yes
103,Warm environment (≈35°C),Moderate (pH~5.5),Clotted/curdled,Open bowl,Rancid smell,>15%,Yes
94,Room temperature (≈25°C),Moderate (pH~5.5),Watery separation,Thermal flask,Rancid smell,>15%,Yes
83,Covered in container,High (pH~4.5),Thickened,Glass jar sealed,Slight off-smell,5-15%,Yes
39,Covered in container,High (pH~4.5),Clotted/curdled,Plastic box with lid,Strong off-odor,5-15%,Yes
61,Covered in container,High (pH~4.5),Mushy,Metal container,Rancid smell,Oil film present,Yes
78,Covered in container,High (pH~4.5),Mushy,Open bowl,Rancid smell,>15%,Yes
68,Warm environment (≈35°C),Moderate (pH~5.5),Clotted/curdled,Metal container,Strong off-odor,5-15%,Yes
116,Open air / uncovered,High (pH~4.5),Clotted/curdled,Glass jar sealed,Slight off-smell,>15%,Yes
36,Refrigerated (≈4°C),None,Normal (smooth),Plastic box with lid,Fresh/normal,None,No
65,Covered in container,None,Thickened,Glass jar sealed,Fresh/normal,<5%,No
71,Refrigerated (≈4°C),None,Thickened,Open bowl,Fresh/normal,<5%,No
27,Room temperature (≈25°C),High (pH~4.5),Clotted/curdled,Thermal flask,Strong off-odor,Oil film present,Yes
43,Open air / uncovered,None,Thickened,Metal container,Fresh/normal,None,No
107,Warm environment (≈35°C),High (pH~4.5),Watery separation,Glass jar sealed,Strong off-odor,>15%,Yes
31,Insulated container,High (pH~4.5),Thickened,Glass jar sealed,Strong off-odor,>15%,Yes
108,Insulated container,Moderate (pH~5.5),Thickened,Glass jar sealed,Sour fermentation smell,Oil film present,Yes
105,Warm environment (≈35°C),High (pH~4.5),Mushy,Plastic box with lid,Strong off-odor,>15%,Yes
114,Covered in container,Moderate (pH~5.5),Clotted/curdled,Thermal flask,Strong off-odor,Oil film present,Yes
78,Refrigerated (≈4°C),High (pH~4.5),Mushy,Glass jar sealed,Sour fermentation smell,5-15%,Yes
13,Room temperature (≈25°C),None,Normal (smooth),Metal container,Fresh/normal,None,No
37,Refrigerated (≈4°C),None,Normal (smooth),Open bowl,Fresh/normal,5-15%,No
119,Covered in container,High (pH~4.5),Normal (smooth),Metal container,Sour fermentation smell,Oil film present,Yes
42,Insulated container,None,Clotted/curdled,Metal container,Sour fermentation smell,>15%,Yes
6,Warm environment (≈35°C),High (pH~4.5),Watery separation,Metal container,Rancid smell,>15%,Yes
83,Refrigerated (≈4°C),High (pH~4.5),Normal (smooth),Plastic box with lid,Fresh/normal,None,No
55,Room temperature (≈25°C),Low (pH~6.5),Normal (smooth),Thermal flask,Fresh/normal,None,No
58,Covered in container,High (pH~4.5),Thickened,Open bowl,Sour fermentation smell,>15%,Yes
92,Room temperature (≈25°C),High (pH~4.5),Clotted/curdled,Plastic box with lid,Sour fermentation smell,>15%,Yes
115,Open air / uncovered,Low (pH~6.5),Clotted/curdled,Plastic box with lid,Strong off-odor,>15%,Yes
58,Covered in container,None,Normal (smooth),Plastic box with lid,Slight off-smell,None,No
6,Warm environment (≈35°C),Low (pH~6.5),Normal (smooth),Glass jar sealed,Fresh/normal,None,No
54,Refrigerated (≈4°C),None,Clotted/curdled,Plastic box with lid,Strong off-odor,5-15%,No
80,Open air / uncovered,High (pH~4.5),Clotted/curdled,Thermal flask,Strong off-odor,5-15%,Yes
116,Refrigerated (≈4°C),High (pH~4.5),Clotted/curdled,Open bowl,Strong off-odor,>15%,Yes
81,Refrigerated (≈4°C),Moderate (pH~5.5),Normal (smooth),Open bowl,Fresh/normal,None,No
57,Insulated container,None,Normal (smooth),Thermal flask,Slight off-smell,None,No
99,Covered in container,High (pH~4.5),Thickened,Plastic box with lid,Strong off-odor,Oil film present,Yes
75,Room temperature (≈25°C),High (pH~4.5),Clotted/curdled,Open bowl,Rancid smell,>15%,Yes
26,Refrigerated (≈4°C),None,Normal (smooth),Metal container,Fresh/normal,5-15%,No
76,Covered in container,Moderate (pH~5.5),Thickened,Open bowl,Slight off-smell,5-15%,Yes
37,Warm environment (≈35°C),None,Watery separation,Plastic box with lid,Sour fermentation smell,>15%,Yes
111,Warm environment (≈35°C),Moderate (pH~5.5),Watery separation,Metal container,Sour fermentation smell,Oil film present,Yes
77,Room temperature (≈25°C),High (pH~4.5),Clotted/curdled,Plastic box with lid,Rancid smell,5-15%,Yes
79,Insulated container,Moderate (pH~5.5),Mushy,Metal container,Rancid smell,Oil film present,Yes
64,Covered in container,High (pH~4.5),Thickened,Plastic box with lid,Rancid smell,>15%,Yes
67,Warm environment (≈35°C),High (pH~4.5),Thickened,Metal container,Strong off-odor,<5%,Yes
41,Room temperature (≈25°C),Moderate (pH~5.5),Clotted/curdled,Plastic box with lid,Sour fermentation smell,>15%,Yes
94,Insulated container,High (pH~4.5),Clotted/curdled,Metal container,Strong off-odor,Oil film present,Yes
3,Warm environment (≈35°C),Low (pH~6.5),Normal (smooth),Glass jar sealed,Sour fermentation smell,None,No
104,Refrigerated (≈4°C),High (pH~4.5),Mushy,Metal container,Strong off-odor,5-15%,Yes
38,Open air / uncovered,Moderate (pH~5.5),Mushy,Metal container,Sour fermentation smell,Oil film present,Yes
111,Insulated container,None,Normal (smooth),Glass jar sealed,Fresh/normal,None,No
76,Warm environment (≈35°C),High (pH~4.5),Thickened,Metal container,Sour fermentation smell,<5%,Yes
102,Room temperature (≈25°C),Moderate (pH~5.5),Mushy,Thermal flask,Strong off-odor,Oil film present,Yes
38,Covered in container,High (pH~4.5),Watery separation,Metal container,Sour fermentation smell,>15%,Yes
41,Covered in container,Moderate (pH~5.5),Normal (smooth),Glass jar sealed,Fresh/normal,None,No
83,Room temperature (≈25°C),Moderate (pH~5.5),Clotted/curdled,Glass jar sealed,Strong off-odor,5-15%,Yes
85,Open air / uncovered,High (pH~4.5),Clotted/curdled,Metal container,Rancid smell,>15%,Yes
22,Covered in container,Low (pH~6.5),Normal (smooth),Plastic box with lid,Fresh/normal,<5%,No
112,Covered in container,Moderate (pH~5.5),Clotted/curdled,Thermal flask,Sour fermentation smell,5-15%,Yes
53,Covered in container,None,Watery separation,Glass jar sealed,Strong off-odor,Oil film present,Yes
89,Warm environment (≈35°C),High (pH~4.5),Watery separation,Glass jar sealed,Strong off-odor,Oil film present,Yes
96,Room temperature (≈25°C),Moderate (pH~5.5),Clotted/curdled,Plastic box with lid,Strong off-odor,<5%,Yes
11,Room temperature (≈25°C),High (pH~4.5),Mushy,Metal container,Strong off-odor,>15%,Yes
104,Room temperature (≈25°C),High (pH~4.5),Watery separation,Thermal flask,Strong off-odor,>15%,Yes
108,Warm environment (≈35°C),High (pH~4.5),Clotted/curdled,Thermal flask,Strong off-odor,Oil film present,Yes
100,Room temperature (≈25°C),Moderate (pH~5.5),Clotted/curdled,Metal container,Strong off-odor,>15%,Yes
101,Room temperature (≈25°C),Moderate (pH~5.5),Clotted/curdled,Plastic box with lid,Sour fermentation smell,>15%,Yes
15,Room temperature (≈25°C),High (pH~4.5),Mushy,Metal container,Strong off-odor,>15%,Yes
35,Open air / uncovered,None,Thickened,Thermal flask,Fresh/normal,None,No
29,Covered in container,None,Thickened,Thermal flask,Fresh/normal,None,No
119,Warm environment (≈35°C),Moderate (pH~5.5),Mushy,Thermal flask,Slight off-smell,Oil film present,Yes
90,Covered in container,None,Watery separation,Metal container,Fresh/normal,None,No
119,Open air / uncovered,High (pH~4.5),Clotted/curdled,Metal container,Rancid smell,Oil film present,Yes
110,Open air / uncovered,High (pH~4.5),Watery separation,Plastic box with lid,Strong off-odor,>15%,Yes
97,Insulated container,High (pH~4.5),Watery separation,Glass jar sealed,Rancid smell,Oil film present,Yes
99,Room temperature (≈25°C),Low (pH~6.5),Thickened,Plastic box with lid,Sour fermentation smell,Oil film present,Yes
115,Covered in container,None,Mushy,Thermal flask,Rancid smell,5-15%,Yes
55,Refrigerated (≈4°C),None,Watery separation,Metal container,Fresh/normal,<5%,No
43,Insulated container,Moderate (pH~5.5),Normal (smooth),Metal container,Fresh/normal,5-15%,No
16,Room temperature (≈25°C),High (pH~4.5),Clotted/curdled,Metal container,Strong off-odor,5-15%,Yes
3,Covered in container,None,Normal (smooth),Plastic box with lid,Slight off-smell,None,No
31,Warm environment (≈35°C),None,Normal (smooth),Plastic box with lid,Fresh/normal,5-15%,No
64,Covered in container,None,Watery separation,Open bowl,Fresh/normal,5-15%,No
45,Warm environment (≈35°C),None,Thickened,Plastic box with lid,Strong off-odor,None,Yes
64,Insulated container,High (pH~4.5),Thickened,Glass jar sealed,Strong off-odor,>15%,Yes
109,Warm environment (≈35°C),None,Thickened,Thermal flask,Strong off-odor,Oil film present,Yes
77,Covered in container,High (pH~4.5),Watery separation,Open bowl,Slight off-smell,Oil film present,Yes
42,Warm environment (≈35°C),Low (pH~6.5),Normal (smooth),Thermal flask,Sour fermentation smell,>15%,Yes
112,Refrigerated (≈4°C),None,Normal (smooth),Glass jar sealed,Slight off-smell,None,No
107,Refrigerated (≈4°C),None,Normal (smooth),Plastic box with lid,Fresh/normal,None,No
115,Room temperature (≈25°C),Moderate (pH~5.5),Clotted/curdled,Plastic box with lid,Sour fermentation smell,>15%,Yes
65,Warm environment (≈35°C),High (pH~4.5),Mushy,Open bowl,Strong off-odor,None,Yes
54,Covered in container,Low (pH~6.5),Thickened,Open bowl,Fresh/normal,None,No
86,Warm environment (≈35°C),High (pH~4.5),Clotted/curdled,Plastic box with lid,Rancid smell,>15%,Yes
10,Open air / uncovered,High (pH~4.5),Thickened,Glass jar sealed,Fresh/normal,None,No
